PhotoID,X,Y,Z,Omega,Phi,Kappa,r11,r12,r13,r21,r22,r23,r31,r32,r33
DSC00856,603543.7099318633554503,3768774.0500827729701996,871.8882714866904280,0.1107609483327515,0.2488514473227073,86.7667593670646085,0.0564002174800200,0.9984068188365902,0.0016851020165983,-0.9983987938348188,0.0563922612864444,0.0044453724457030,0.0043432634488436,-0.0019331237935772,0.9999886994836554
DSC00857,603511.8827102049253881,3768773.0411176038905978,871.9237909721155120,-0.2228173147578610,0.0658548833059231,86.3545766461625277,0.0635816804132867,0.9979688046405920,-0.0039540966162434,-0.9979759760793740,0.0635857024032464,0.0008997879234728,0.0011493842891326,0.0038888834019182,0.9999917777170184
DSC00858,603479.7924529722658917,3768772.1550017111003399,871.9511072267802092,0.1251501403799034,0.5634623490601695,86.8391140448058820,0.0551372212662410,0.9984774416440346,0.0016387065085114,-0.9984303566195192,0.0551183082930420,0.0099395709934018,0.0098341146859931,-0.0021841746488420,0.9999492584973732
DSC00859,603448.0669390556868166,3768771.2867357297800481,871.9673535594937448,1.0112263370262984,0.4237020032837205,87.1736943601245144,0.0493069883018700,0.9986344851423912,0.0172622706788776,-0.9987562945735688,0.0491703078283684,0.0082549910804593,0.0073949276043918,-0.0176478302477974,0.9998169178070908
DSC00860,603415.7520883085671812,3768770.3426651759073138,871.9991583797577732,0.3726998623114030,0.8169892900645485,86.8417800055999862,0.0550878277521523,0.9984651893305664,0.0057093719992244,-0.9983796980944580,0.0549996541316903,0.0145950840426895,0.0142586698667130,-0.0065041325686660,0.9998771857549116
DSC00861,603383.7321929753525183,3768769.4512991951778531,872.0129444188694379,0.9300068967548282,0.6433234676624774,86.9284402735853376,0.0535797786984624,0.9984416140972708,0.0156061062876132,-0.9985004467191880,0.0533941202152786,0.0120799763252456,0.0112278767452220,-0.0162299465579176,0.9998052428440858
DSC00862,603361.3518929444253445,3768867.9967304528690875,872.2152532243379710,5.4304389989488628,-1.3003106804295377,-77.0175139888588944,0.2245953502642900,-0.9705477932347750,-0.0871430415281091,0.9741878502268144,0.2215522352584259,0.0432740051584466,-0.0226927545731905,-0.0946128326343942,0.9952554701134664
DSC00863,603395.6986565872794017,3768866.7067845528945327,872.6068258981696317,-0.6234136883985152,7.7440577336379652,-77.8247569369763852,0.2089789889606126,-0.9777584596428418,-0.0177813601801919,0.9685921299849486,0.2094568233263540,-0.1340041972971485,0.1347481647527001,0.0107811761366755,0.9908212242059056
DSC00864,603427.9850212585879490,3768866.9425250128842890,872.7210327330243445,0.4725829322363652,2.2548265405605310,-82.0410836543724145,0.1383557900674899,-0.9902889868657908,-0.0136160878054768,0.9896007911422612,0.1387796733103216,-0.0378216399233427,0.0393439896986985,-0.0082416483913197,0.9991917362080128
DSC00865,603459.6867013681912795,3768867.6754833934828639,872.8625153602567934,0.4303191457618266,3.5518829189641989,-82.3250149973699621,0.1332969734056952,-0.9909515110956316,-0.0157168552250717,0.9891379190081884,0.1340108682601276,-0.0603925853753353,0.0619523531516910,-0.0074959886240025,0.9980509586656970
DSC00866,603491.9560871077701449,3768868.6561780688352883,873.1153230742069127,0.9297306968968800,3.7264117023041265,-82.1371269474709891,0.1365134464485797,-0.9903236340648660,-0.0249635484514513,0.9885039597076752,0.1378293292684269,-0.0621530179127498,0.0649923117066765,-0.0161918438101638,0.9977543904253440
DSC00867,603523.8494412188883871,3768869.6029091584496200,873.2937352710850973,1.2079509989915511,3.2285422441446832,-82.5564904361104368,0.1293430043570203,-0.9911989025416248,-0.0281979223379830,0.9899992784178387,0.1306970920941314,-0.0531008366252045,0.0563188774396152,-0.0210477010245096,0.9981909528369431
DSC00868,603555.9226318431319669,3768870.6876400327309966,873.5570043769756694,2.9157403214956368,3.8863620197949298,-82.1842508248515031,0.1356751867570401,-0.9889591027621988,-0.0595998050519414,0.9884323000893018,0.1392274995321742,-0.0601439233355376,0.0677778122884987,-0.0507503343615137,0.9964088376382356
DSC00869,603587.7286322539439425,3768871.5617083967663348,873.7570108898655690,1.3697060691065657,3.5424874592686564,-82.5075063212978534,0.1301471476351260,-0.9909860690194821,-0.0317542276201967,0.9895675208361214,0.1318234052960731,-0.0581266851144955,0.0617886856041882,-0.0238579300330469,0.9978040676935754
DSC00870,603619.8849165266146883,3768872.5889244489371777,873.9927592306094084,1.9653220495827264,4.8357367596324847,-82.5263852414000922,0.1296066225653729,-0.9905455955057234,-0.0449616126424452,0.9879755769633010,0.1328595521384281,-0.0790733756052534,0.0842993636466502,-0.0341725420445796,0.9958543340564328
DSC00871,603651.4692246816121042,3768873.5231110649183393,874.2248521249897522,0.9350516162424938,4.0967594681453923,-82.4610205364595714,0.1308654210699748,-0.9910708597913588,-0.0255498031419991,0.9888227448112794,0.1323389592948156,-0.0686729873869813,0.0714410310120562,-0.0162773070617285,0.9973120015134446
DSC00872,603683.5804541447432712,3768874.4777712207287550,874.4162399094864213,0.4099663399885725,4.7168544121064127,-82.0852125084251014,0.1372338250216664,-0.9903675815863164,-0.0184100682452336,0.9871194598050960,0.1382794367641583,-0.0804609808682663,0.0822316809023082,-0.0071309684516622,0.9965877281729504
DSC00873,603715.6494305112864822,3768875.5856497832573950,874.5917158836289218,2.8655589330471720,4.0042791210711242,-82.0898106299089818,0.1372847396952346,-0.9887660528645008,-0.0591150822512116,0.9880670700846204,0.1409064259426246,-0.0622000332995839,0.0698309763729927,-0.0498705507371971,0.9963114788598810
DSC00874,603747.6684002287220210,3768876.4662639880552888,874.7764604003106115,3.5226637788530288,3.8173442327599312,-82.8065898669900520,0.1249413086945684,-0.9897423259992064,-0.0692805709226574,0.9899279331458722,0.1290409846690417,-0.0582332504089021,0.0665759458004941,-0.0613070338650051,0.9958961246231680
DSC00875,603779.5165710243163630,3768877.3006417001597583,874.9941431334988238,1.8312778052602725,5.3969553991173029,-82.9482690955107103,0.1222212147151837,-0.9915598494843718,-0.0432555148400201,0.9880362110725260,0.1256856728606860,-0.0893731349288103,0.0940554107055610,-0.0318147218766212,0.9950584923455112
DSC00876,603811.8463301273295656,3768878.3278269832953811,875.1999835902612404,1.6946248560415624,3.7941705904969951,-82.2943190796550681,0.1337905560260868,-0.9902741109748552,-0.0381742354368932,0.9887979081007752,0.1359650082103602,-0.0615809506088351,0.0661723813517521,-0.0295076545207749,0.9973718034268472
DSC00877,603843.5735405713785440,3768879.0705438032746315,875.4496089872500306,0.6746772591834096,2.2345858919802839,-81.5487111638532127,0.1468567655594422,-0.9890051169700530,-0.0173772557232484,0.9883889885731854,0.1474124729679623,-0.0368343600561426,0.0389909948154030,-0.0117661132291817,0.9991702862389292
